Rows,Cols,CPU_Rows,GPU_Rows,Rate(MB/s),Avg_time,Min_time,Max_time,GPU_Power(W),GPU_Energy(J),CPU_Power(W),CPU_Energy(J),DRAM_Power(W),DRAM_Energy(J),Total_Power_inc_DRAM(W),Total_Energy_inc_DRAM(W),Total_Power_exc_DRAM(W),Total_Energy_exc_DRAM(W),Power_efficiency,t_winner,pe_winner
8192,1024,4864,3328,31.675,1.1075,1.0593,1.2243,86.4612,98.4827,126.895,144.539,25.1402,0.7342,238.497,243.756,213.357,243.022,0.14846,0,0
8192,1024,4992,3200,31.0025,1.1258,1.0823,1.2767,80.3628,93.0863,127.606,147.809,25.1956,0.7483,233.165,241.644,207.969,240.896,0.149073,0,0
8192,1024,5120,3072,30.1934,1.1624,1.1113,1.3069,72.7038,86.8845,126.177,150.787,25.0299,0.767,223.911,238.439,198.881,237.672,0.151817,0,0
8192,1024,5248,2944,29.4483,1.1756,1.1394,1.2385,72.1278,87.2847,126.322,152.867,25.0383,0.7769,223.488,240.928,198.449,240.151,0.148392,0,0
8192,1024,5376,2816,29.0583,1.1903,1.1547,1.2798,71.8316,88.0775,126.356,154.934,25.0077,0.7862,223.195,243.797,198.188,243.011,0.14662,0,0
8192,1024,5504,2688,28.0487,1.2308,1.1963,1.3281,71.284,90.2457,125.28,158.605,25.0798,0.8141,221.644,249.665,196.564,248.85,0.142695,0,0
8192,1024,5632,2560,27.5477,1.2624,1.2181,1.3686,70.888,92.1249,124.628,161.965,24.942,0.8311,220.458,254.921,195.516,254.09,0.140897,0,0
8192,1024,5760,2432,27.4819,1.2769,1.221,1.4497,70.5158,92.5467,124.759,163.736,25.0772,0.8439,220.352,257.127,195.274,256.283,0.140735,0,0
8192,1024,5888,2304,26.5041,1.3039,1.266,1.3852,70.2641,94.3703,124.982,167.861,24.9512,0.8593,220.197,263.09,195.246,262.231,0.135747,0,0
8192,1024,6016,2176,26.0191,1.3391,1.2896,1.4355,70.1337,96.5085,123.716,170.241,25.0676,0.8845,218.917,267.634,193.85,266.75,0.134223,0,0
8192,1024,6144,2048,25.6526,1.3517,1.308,1.4106,69.8285,97.0812,123.606,171.848,24.8092,0.8844,218.244,269.813,193.435,268.929,0.132616,0,0
8192,1024,6272,1920,24.909,1.3899,1.3471,1.4606,69.5126,99.361,122.54,175.159,24.9499,0.9144,217.003,275.434,192.053,274.52,0.129699,0,0
8192,1024,6400,1792,24.3139,1.411,1.38,1.4734,69.3063,100.708,122.788,178.422,24.765,0.9227,216.859,280.052,192.094,279.13,0.126573,0,0
8192,1024,6528,1664,23.918,1.4384,1.4029,1.5494,69.1533,102.305,121.983,180.461,24.774,0.9398,215.91,283.706,191.136,282.766,0.125136,0,0
8192,1024,6656,1536,23.5726,1.4641,1.4235,1.5419,69.0789,104.043,122.088,183.883,24.8069,0.958,215.974,288.885,191.167,287.927,0.123309,0,0
8192,1024,6784,1408,23.0346,1.4952,1.4567,1.6074,68.9374,105.974,121.078,186.128,24.7516,0.9756,214.767,293.078,190.015,292.102,0.121225,0,0
8192,1024,6912,1280,22.8033,1.5114,1.4715,1.6231,68.8489,107.014,120.946,187.99,24.7233,0.9853,214.518,295.99,189.795,295.005,0.120147,0,0
8192,1024,7040,1152,22.453,1.5378,1.4944,1.6238,68.7638,108.708,120.448,190.415,24.7636,1.0038,213.975,300.127,189.212,299.123,0.118666,0,0
8192,1024,7168,1024,22.1846,1.5606,1.5125,1.5968,68.6683,110.159,119.955,192.435,24.7034,1.0161,213.327,303.61,188.624,302.594,0.117613,0,0
8192,1024,7296,896,21.8383,1.5885,1.5365,1.6432,68.5954,112.012,120.125,196.158,24.7572,1.0366,213.478,309.207,188.721,308.17,0.115718,0,0
8192,1024,7424,768,21.2377,1.6197,1.58,1.6936,68.5716,114.164,118.817,197.816,24.7107,1.0549,212.099,313.034,187.388,311.979,0.113335,0,0
8192,1024,7552,640,20.9846,1.6418,1.599,1.7044,68.5426,115.639,118.595,200.083,24.7125,1.069,211.85,316.791,187.137,315.722,0.112135,0,0
8192,1024,7680,512,20.8796,1.6626,1.607,1.7379,68.5139,117.096,118.893,203.198,24.7018,1.0825,212.109,321.376,187.407,320.293,0.111413,0,0
8192,1024,7808,384,20.5663,1.6875,1.6315,1.7529,68.492,118.775,118.457,205.421,24.6109,1.0943,211.56,325.29,186.95,324.196,0.11001,0,0
8192,1024,7936,256,19.9954,1.7229,1.6781,1.7698,68.5054,121.232,116.76,206.626,24.5931,1.1159,209.858,328.974,185.265,327.858,0.107929,0,0
8192,1024,8064,128,19.7782,1.7453,1.6965,1.7894,68.4886,122.806,117.208,210.162,24.7016,1.1357,210.398,334.104,185.696,332.968,0.106508,0,0
8192,1024,8192,0,19.6048,1.7551,1.7115,1.8312,0,0,117.031,210.898,24.6811,1.1404,141.712,212.038,117.031,210.898,0.167518,0,0
8192,2048,0,8192,64.6272,1.0416,1.0384,1.0473,182.846,197.075,74.0715,79.8358,23.1982,0.6411,280.115,277.552,256.917,276.911,0.251549,0,0
8192,2048,128,8064,65.5305,1.0343,1.0241,1.0605,179.017,191.363,79.0604,84.5128,23.986,0.6574,282.063,276.533,258.077,275.875,0.253918,0,0
8192,2048,256,7936,67.4639,1.0012,0.9947,1.0146,182.184,188.739,84.2646,87.2961,24.6034,0.6536,291.052,276.689,266.449,276.035,0.253196,0,0
8192,2048,384,7808,69.4791,0.9807,0.9659,1.0069,181.321,184.11,89.9261,91.3093,25.1673,0.6552,296.415,276.075,271.247,275.42,0.256147,0,0
8192,2048,512,7680,71.8552,0.948,0.9339,0.989,183.308,179.922,95.6742,93.907,25.5341,0.6426,304.516,274.472,278.982,273.829,0.257562,0,0
8192,2048,640,7552,73.3615,0.9253,0.9148,0.9439,183.367,175.929,101.375,97.263,26.1128,0.6424,310.855,273.835,284.743,273.192,0.257641,0,0
8192,2048,768,7424,76.2955,0.8922,0.8796,0.9054,183.74,170.194,107.671,99.7328,26.5436,0.6304,317.955,270.557,291.412,269.926,0.261813,0,0
